Country	Moss	Microbiome	Chamber	Week0	Week4	Condition	Growth	Tmax	Tmean	Torigin	MBMoss
Iceland	Fallax	STC	12C	0.17155336	0.15379926	Ambient	-0.000634075	12	8.5	12	ST
Iceland	Fallax	STC	12C	0.1878615	0.2224413	Ambient	0.001234993	12	8.5	12	ST
Iceland	Fallax	STC	12C	0.09261706	0.11651938	Ambient	0.000853654	12	8.5	12	ST
Iceland	Fallax	STC	12C	0.14383182	0.19393264	Ambient	0.001789315	12	8.5	12	ST
Iceland	Fallax	STC	12C	0.07190442	0.1177837	Ambient	0.001638546	12	8.5	12	ST
Iceland	Fallax	STC	12C	0.10511052	0.1806046	Ambient	0.002696217	12	8.5	12	ST
Iceland	Fallax	STC	12C	0.03208008	0.08783512	Ambient	0.001991251	12	8.5	12	ST
Iceland	Fallax	None	18.5C	0.08416256	0.13992816	Control	0.001991629	18.5	15	0	NONE
Iceland	Fallax	None	18.5C	0.0970684	0.12110436	Control	0.000858427	18.5	15	0	NONE
Iceland	Fallax	None	18.5C	0.067184	0.11536104	Control	0.001720609	18.5	15	0	NONE
Iceland	Fallax	None	18.5C	0.0475072	0.06967096	Control	0.000791563	18.5	15	0	NONE
Iceland	Fallax	None	18.5C	0.1474148	0.21542488	Control	0.002428931	18.5	15	0	NONE
Iceland	Fallax	None	18.5C	0.1445184	0.23772948	Control	0.003328967	18.5	15	0	NONE
Iceland	Fallax	None	18.5C	0.182361	0.1569108	Control	-0.000908936	18.5	15	0	NONE
Iceland	Fallax	None	18.5C	0.12792292	0.15257812	Control	0.000880543	18.5	15	0	NONE
Iceland	Fallax	None	18.5C	0.10070404	0.12248752	Control	0.000777981	18.5	15	0	NONE
Iceland	Fallax	None	18.5C	0.17281517	0.16302052	Control	-0.000349809	18.5	15	0	NONE
Iceland	Fallax	None	18.5C	0.09897378	0.12096696	Control	0.000785471	18.5	15	0	NONE
Iceland	Fallax	None	18.5C	0.0687742	0.08374988	Control	0.000534846	18.5	15	0	NONE
Iceland	Fallax	SMH	18.5C	0.033484005	0.24696384	Warm	0.00762428	18.5	15	27	SM
Iceland	Fallax	SMH	18.5C	0.035281995	0.0912242	Warm	0.001997936	18.5	15	27	SM
Iceland	Fallax	SMH	18.5C	0.034506735	0.12848652	Warm	0.003356421	18.5	15	27	SM
Iceland	Fallax	SMH	18.5C	0.03442242	0.11421902	Warm	0.002849879	18.5	15	27	SM
Iceland	Fallax	SMH	18.5C	0.034231525	0.13726652	Warm	0.003679821	18.5	15	27	SM
